created_at,business_name,email_to,subject,body,status,channel,website,phone
2026-03-13T10:39:48.591341,(aged.),info@agednyc.com,quick growth idea for (aged.),"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked (aged.) and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.agednyc.com,+1 718-544-2433
2026-03-13T10:39:48.591358,1 Mi Taller Auto Repair,1mitallercorp@gmail.com,quick growth idea for 1 Mi Taller Auto Repair,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked 1 Mi Taller Auto Repair and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.mitallerauto.com/,+1-718-424-7289;+1-917-584-1709
2026-03-13T10:39:48.591364,44 Launder Center,info@44laundercenter.online,quick growth idea for 44 Launder Center,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked 44 Launder Center and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.44launder.center/,+1 929-919-0985
2026-03-13T10:39:48.591368,5 Burro Cafe,greatfood@5burrocafe.com,quick growth idea for 5 Burro Cafe,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked 5 Burro Cafe and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://5burrocafe.com,+1-718-544-2984
2026-03-13T10:39:48.591375,A Local Locksmith,Info@alocallocksmithqueens.com,quick growth idea for A Local Locksmith,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked A Local Locksmith and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://alocallocksmithqueens.com/,+1 718-651-9071
2026-03-13T10:39:48.591379,ABC Super Stores,info@abcsuperstore.com,quick growth idea for ABC Super Stores,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked ABC Super Stores and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,http://www.abcsuperstore.com/locations.html,+1-718-943-7495
2026-03-13T10:39:48.591382,ACE Institute of Technology,yadhiritarodriguez01@gmail.com,quick growth idea for ACE Institute of Technology,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked ACE Institute of Technology and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.acecareer.edu,+1-347-806-3919
2026-03-13T10:39:48.591386,AJ's Jewelry,info@ajsjewelers.com,quick growth idea for AJ's Jewelry,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked AJ's Jewelry and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.ajsjewelers.com/,+1-718-628-4499
2026-03-13T10:39:48.591389,Ace Pizzeria and Restaurant,info@acepizzany.com,quick growth idea for Ace Pizzeria and Restaurant,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Ace Pizzeria and Restaurant and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://acepizzany.com/,+1-718-418-0038
2026-03-13T10:39:48.591393,Addictive Boutique Winery,info@abwinery.com,quick growth idea for Addictive Boutique Winery,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Addictive Boutique Winery and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://abwinery.com/,+1-718-899-8666
2026-03-13T10:39:48.591397,Amaranto,amarantobklyn@gmail.com,quick growth idea for Amaranto,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Amaranto and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://amarantobklyn.com/,+1-718-576-6001
2026-03-13T10:39:48.591400,Aroma Indian,aromaindiannyc@gmail.com,quick growth idea for Aroma Indian,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Aroma Indian and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,http://www.aromaindiancuisineny.com,+1-718-200-0010
2026-03-13T10:39:48.591404,"Artistic Neon, Inc.",robbielights@artisticneon.com,"quick growth idea for Artistic Neon, Inc.","Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Artistic Neon, Inc. and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,http://artisticneon.com,+1-718-821-1550
2026-03-13T10:39:48.591407,Atlas Park Dental,info@atlasparkdental.com,quick growth idea for Atlas Park Dental,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Atlas Park Dental and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.atlasparkdental.com/,+1-718-894-2110
2026-03-13T10:39:48.591410,Bangla Travel,banglatravel@gmail.com,quick growth idea for Bangla Travel,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Bangla Travel and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://banglatravel.net/,+1 917-396-4140
2026-03-13T10:39:48.591471,Bar 43,info@bar43.com,quick growth idea for Bar 43,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Bar 43 and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://bar43.com,+1 718-361-3090
2026-03-13T10:39:48.591476,Barn Truck Rental,barntruckrental@gmail.com,quick growth idea for Barn Truck Rental,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Barn Truck Rental and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.barntruckrental.com,+1-718-426-7039
2026-03-13T10:39:48.591480,Barn Truck Rental,barntruckrental@gmail.com,quick growth idea for Barn Truck Rental,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Barn Truck Rental and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.barntruckrental.com,+1-718-899-9216
2026-03-13T10:39:48.591483,Beauty Buffet NYC,beautybuffetnyc@gmail.com,quick growth idea for Beauty Buffet NYC,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Beauty Buffet NYC and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://beautybuffetnyc.com/,+1 347-204-7948
2026-03-13T10:39:48.591487,Bell Electrical Supply,contact@bellelectric.nyc,quick growth idea for Bell Electrical Supply,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Bell Electrical Supply and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://bellelectric.nyc/,+1 718-446-5700
2026-03-13T10:39:48.591492,Best Urologist Brooklyn,info@doralhw.org,quick growth idea for Best Urologist Brooklyn,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Best Urologist Brooklyn and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.urologistbrooklyn.com/,+13478681098
2026-03-13T10:39:48.591497,Bliss Drugs,info@blissdrugs.com,quick growth idea for Bliss Drugs,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Bliss Drugs and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://www.blissdrugs.com/,+1 718-482-8900
2026-03-13T10:39:48.591500,BluePearl Specialty + Emergency Pet Hospital,info.ny@bluepearlvet.com,quick growth idea for BluePearl Specialty + Emergency Pet Hospital,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked BluePearl Specialty + Emergency Pet Hospital and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://bluepearlvet.com/queens-ny/,+1-718-263-0099
2026-03-13T10:39:48.591503,Brooklyn Seltzer Boys,bkseltzerboys@gmail.com,quick growth idea for Brooklyn Seltzer Boys,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Brooklyn Seltzer Boys and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://brooklynseltzerboys.com/,+1 718-649-0800
2026-03-13T10:39:48.591507,Brookside Market,carrie@vortexhospitality.com,quick growth idea for Brookside Market,"Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Brookside Market and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://brooksidemarketnyc.com/,+1 718-806-1902
2026-03-13T10:39:48.591510,"Bushwick Bicycle Shop, Inc.",bushwickbicycleshopinc@gmail.com,"quick growth idea for Bushwick Bicycle Shop, Inc.","Hi team,\n\nI’m local and I put together quick AI-powered growth audits for neighborhood businesses. I checked Bushwick Bicycle Shop, Inc. and I can send a short report with practical fixes (SEO + visibility + conversion ideas) you can use right away.\n\nIf you want, I’ll send a free 3-point preview first.\n\n— Ander\nayalaander323@gmail.com",approved_pending_send,email,https://bushwickbicycles.webs.com/,+1-718-366-2804
